Run accession,reference_id,aligned_reads,covered_bases,species,common_name,SARS2_aligned_reads,total_reads,preprocessed_reads,sample,Sample name,Collection date,description,Isolation source
CRR710761,NC_036369.1,0,0,Otocyon megalotis,bat-eared fox,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_040902.1,194,4791,Gallus gallus,chicken,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_022418.1,111,3654,Anas poecilorhyncha,spot-billed duck,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_020637.1,3,129,Mustela sibirica,Siberian weasel,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_029888.1,0,0,Rattus tiomanicus,Mayalan field rat,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_036430.1,0,0,Muntiacus putaoensis,leaf deer,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_026063.1,19,817,Ovis orientalis,sheep,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_013700.1,5,215,Nyctereutes procyonoides,raccoon dog,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_023459.1,0,0,Vulpes zerda,fennec fox,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,AC_000022.2,1,43,Rattus norvegicus,brown rat,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_020645.1,0,0,Arctonyx collaris,hog badger,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_018367.1,0,0,Marmota himalayana,Himalayan marmot,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_026723.1,0,0,Urocyon cinereoargenteus,gray fox,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_028161.1,1,43,Capra aegagrus,goat,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_004926.1,0,0,Andrias davidianus,Chinese salamander,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_003408.1,6,258,Coturnix japonica,quail,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_011710.1,0,0,Larimichthys crocea,yellow croaker (fish),5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_002080.2,10,351,Erinaceus europaeus,European hedgehog,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_002008.4,5,172,Canis lupus,dog,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_026459.1,418,9099,Streptopelia chinensis,spotted dove,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_005033.1,1,43,Hemiechinus auritus,long-eared hedgehog,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_003489.1,0,0,Ictalurus punctatus,catfish,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_012920.1,383,9526,Homo sapiens,human,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_001913.1,0,0,Oryctolagus cuniculus,rabbit,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_006853.1,8,301,Bos taurus,cow,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_010288.1,0,0,Ctenopharyngodon idella,carp,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,KX964606.1,98,2600,Erinaceus amurensis,Amur hedgehog,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_029403.1,285,7717,Paguma larvata,masked palm civet,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_012095.1,4,172,Sus scrofa,pig,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_050263.1,33,1204,Hystrix brachyura,Malayan porcupine,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_021478.1,337,8233,Rhizomys pruinosus,hoary bamboo rat,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_020011.1,0,0,Channa maculata,snakehead fish,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_028308.1,1,43,Felis margarita,sand cat,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_023982.1,0,0,Amaurornis akool,brown bush hen,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_030041.1,282,6135,Ptyas mucosa,Oriental rat snake,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_003192.1,1,43,Monopterus albus,swamp eel,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_014686.1,15,602,Micropterus salmoides,Largemouth bass,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_011389.1,0,0,Naja atra,Chinese cobra,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_031867.1,9,363,Columba rupestris,pigeon,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_036369.1,9,222,Otocyon megalotis,bat-eared fox,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_040902.1,1550,13652,Gallus gallus,chicken,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_022418.1,16582,15211,Anas poecilorhyncha,spot-billed duck,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_020637.1,0,0,Mustela sibirica,Siberian weasel,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_029888.1,1,43,Rattus tiomanicus,Mayalan field rat,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_036430.1,15,471,Muntiacus putaoensis,leaf deer,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_026063.1,14,485,Ovis orientalis,sheep,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_013700.1,10009,15810,Nyctereutes procyonoides,raccoon dog,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_023459.1,15,193,Vulpes zerda,fennec fox,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,AC_000022.2,1,43,Rattus norvegicus,brown rat,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_020645.1,49,1823,Arctonyx collaris,hog badger,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_018367.1,377,8862,Marmota himalayana,Himalayan marmot,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_026723.1,9,200,Urocyon cinereoargenteus,gray fox,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_028161.1,0,0,Capra aegagrus,goat,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_004926.1,34,975,Andrias davidianus,Chinese salamander,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_003408.1,27,149,Coturnix japonica,quail,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_011710.1,1,43,Larimichthys crocea,yellow croaker (fish),1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_002080.2,14,405,Erinaceus europaeus,European hedgehog,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_002008.4,809,12370,Canis lupus,dog,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_026459.1,35,1292,Streptopelia chinensis,spotted dove,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_005033.1,0,0,Hemiechinus auritus,long-eared hedgehog,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_003489.1,0,0,Ictalurus punctatus,catfish,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_012920.1,12,516,Homo sapiens,human,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_001913.1,197,6180,Oryctolagus cuniculus,rabbit,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_006853.1,2,86,Bos taurus,cow,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,NC_010288.1,1,43,Ctenopharyngodon idella,carp,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710762,KX964606.1,122,3445,Erinaceus amurensis,Amur hedgehog,1,213214887,206952411,Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_029403.1,0,0,Paguma larvata,masked palm civet,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_012095.1,10,430,Sus scrofa,pig,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_050263.1,22,801,Hystrix brachyura,Malayan porcupine,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_021478.1,81,2797,Rhizomys pruinosus,hoary bamboo rat,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_020011.1,0,0,Channa maculata,snakehead fish,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_028308.1,0,0,Felis margarita,sand cat,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_023982.1,0,0,Amaurornis akool,brown bush hen,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_030041.1,2,86,Ptyas mucosa,Oriental rat snake,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_003192.1,1,43,Monopterus albus,swamp eel,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_014686.1,1,43,Micropterus salmoides,Largemouth bass,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_011389.1,15,549,Naja atra,Chinese cobra,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_031867.1,25,872,Columba rupestris,pigeon,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_036369.1,0,0,Otocyon megalotis,bat-eared fox,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_040902.1,445,6774,Gallus gallus,chicken,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_022418.1,329,5771,Anas poecilorhyncha,spot-billed duck,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_020637.1,0,0,Mustela sibirica,Siberian weasel,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_029888.1,22,675,Rattus tiomanicus,Mayalan field rat,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_036430.1,1,43,Muntiacus putaoensis,leaf deer,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_026063.1,2,86,Ovis orientalis,sheep,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_013700.1,111,3637,Nyctereutes procyonoides,raccoon dog,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_023459.1,0,0,Vulpes zerda,fennec fox,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,AC_000022.2,1,43,Rattus norvegicus,brown rat,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_020645.1,3,129,Arctonyx collaris,hog badger,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_018367.1,99,3547,Marmota himalayana,Himalayan marmot,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_026723.1,0,0,Urocyon cinereoargenteus,gray fox,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_028161.1,1,43,Capra aegagrus,goat,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_004926.1,2,86,Andrias davidianus,Chinese salamander,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_003408.1,11,318,Coturnix japonica,quail,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_011710.1,0,0,Larimichthys crocea,yellow croaker (fish),5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_002080.2,13,321,Erinaceus europaeus,European hedgehog,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_002008.4,146,4505,Canis lupus,dog,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_026459.1,56,2131,Streptopelia chinensis,spotted dove,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_005033.1,0,0,Hemiechinus auritus,long-eared hedgehog,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_003489.1,0,0,Ictalurus punctatus,catfish,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_012920.1,35,1318,Homo sapiens,human,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_001913.1,144,4459,Oryctolagus cuniculus,rabbit,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_006853.1,0,0,Bos taurus,cow,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,NC_010288.1,1,43,Ctenopharyngodon idella,carp,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710763,KX964606.1,24,702,Erinaceus amurensis,Amur hedgehog,5,120407578,120404558,Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_029403.1,0,0,Paguma larvata,masked palm civet,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_012095.1,6,215,Sus scrofa,pig,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_050263.1,9,387,Hystrix brachyura,Malayan porcupine,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_021478.1,158,4564,Rhizomys pruinosus,hoary bamboo rat,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_020011.1,0,0,Channa maculata,snakehead fish,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_028308.1,0,0,Felis margarita,sand cat,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_023982.1,1,43,Amaurornis akool,brown bush hen,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_030041.1,5,215,Ptyas mucosa,Oriental rat snake,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_003192.1,0,0,Monopterus albus,swamp eel,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_014686.1,0,0,Micropterus salmoides,Largemouth bass,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_011389.1,1,43,Naja atra,Chinese cobra,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_031867.1,84,2901,Columba rupestris,pigeon,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_036369.1,0,0,Otocyon megalotis,bat-eared fox,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_040902.1,435,6593,Gallus gallus,chicken,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_022418.1,212,5191,Anas poecilorhyncha,spot-billed duck,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_020637.1,0,0,Mustela sibirica,Siberian weasel,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_029888.1,0,0,Rattus tiomanicus,Mayalan field rat,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_036430.1,3,129,Muntiacus putaoensis,leaf deer,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_026063.1,0,0,Ovis orientalis,sheep,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_013700.1,21,796,Nyctereutes procyonoides,raccoon dog,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,NC_023459.1,1,43,Vulpes zerda,fennec fox,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710764,AC_000022.2,0,0,Rattus norvegicus,brown rat,6,110003167,87071974,Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
